Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
Charlie,30,55000,Female,Finance,Assistant,2020-01-15,C,name@company.org,098-765-4321
Ivy,35,NAN,Other,It,Clerk,2019-12-01,D,name@company.org,555-555-5555
Jack,30,65000,Female,Marketing,Analyst,2020-02-20,B,nan,098-765-4321
Frank,25,55000,Male,It,Director,2020-02-20,D,,555-555-5555
Jack,50,55000,Male,It,Manager,2019-12-01,F,name@company.org,123-456-7890
Jack,35,50000,Other,Finance,Clerk,2019-12-01,D,user@domain.com,nan
Frank,nan,55000,Other,Finance,Analyst,2020-01-15,F,email@example.com,nan
Alice,nan,50000,Female,Sales,Analyst,2019-03-25,A,user@domain.com,
David,40,70000,Other,Marketing,Analyst,2020-02-20,A,,098-765-4321
Jack,30,NAN,Male,Finance,Director,2020-01-15,F,email@example.com,
Frank,35,50000,Female,Hr,Director,2019-12-01,F,user@domain.com,123-456-7890
Frank,40,65000,Male,Marketing,Director,2020-01-15,D,user@domain.com,nan
Eve,35,NAN,Female,Marketing,Assistant,2019-12-01,F,nan,123-456-7890
Alice,30,50000,Other,Finance,Analyst,2018-04-05,B,,123-456-7890
Hannah,nan,NAN,Female,Marketing,Clerk,2019-12-01,A,nan,098-765-4321
Eve,25,NAN,Female,Finance,Director,2019-12-01,A,email@example.com,123-456-7890
Eve,nan,NAN,Male,It,Director,2019-12-01,F,nan,nan
Grace,40,70000,Male,Sales,Analyst,2019-03-25,C,,
David,50,65000,Female,It,Director,2019-12-01,C,name@company.org,nan
Frank,25,60000,Other,Finance,Assistant,2020-02-20,F,name@company.org,098-765-4321
David,40,60000,Other,Finance,Assistant,2020-02-20,B,email@example.com,nan
Charlie,30,50000,Male,It,Director,2020-01-15,C,name@company.org,555-555-5555
Grace,25,NAN,Other,Hr,Analyst,2019-03-25,F,nan,
Hannah,40,50000,Male,Hr,Analyst,2020-01-15,B,email@example.com,555-555-5555
David,30,70000,Other,Hr,Analyst,2020-02-20,B,,555-555-5555
Bob,nan,70000,Female,Finance,Manager,2020-02-20,D,email@example.com,098-765-4321
Jack,50,55000,Male,Marketing,Director,2018-04-05,B,email@example.com,123-456-7890
Charlie,30,70000,Male,Finance,Analyst,2019-12-01,C,user@domain.com,555-555-5555
Alice,35,55000,Female,Marketing,Assistant,2020-02-20,C,user@domain.com,nan
Hannah,30,65000,Male,It,Clerk,2020-01-15,F,email@example.com,123-456-7890
Charlie,30,50000,Other,Sales,Clerk,2020-01-15,F,name@company.org,nan
Jack,50,65000,Other,Marketing,Analyst,2019-12-01,B,user@domain.com,nan
Grace,35,70000,Male,Hr,Clerk,2019-12-01,A,,123-456-7890
Jack,40,65000,Other,Finance,Clerk,2018-04-05,D,nan,123-456-7890
Eve,40,65000,Male,It,Manager,2019-03-25,A,user@domain.com,nan
Jack,30,65000,Female,Hr,Assistant,2020-01-15,B,email@example.com,098-765-4321
Eve,35,70000,Male,It,Assistant,2019-12-01,B,name@company.org,
Grace,35,NAN,Female,Sales,Manager,2020-01-15,A,nan,
Ivy,50,65000,Other,Finance,Manager,2019-12-01,D,user@domain.com,098-765-4321
Eve,nan,55000,Female,Finance,Clerk,2020-02-20,A,name@company.org,123-456-7890
Alice,40,70000,Other,Sales,Director,2020-01-15,F,name@company.org,nan
Jack,50,65000,Male,Finance,Clerk,2020-02-20,C,name@company.org,
Jack,25,NAN,Other,Marketing,Manager,2020-01-15,F,email@example.com,nan
Alice,40,70000,Male,It,Assistant,2019-03-25,C,,098-765-4321
Bob,50,60000,Male,Hr,Clerk,2018-04-05,B,name@company.org,nan
Frank,40,NAN,Female,Sales,Director,2020-02-20,D,nan,098-765-4321
Ivy,nan,55000,Female,Marketing,Clerk,2019-12-01,A,user@domain.com,123-456-7890
Hannah,25,65000,Female,Hr,Analyst,2019-03-25,D,nan,098-765-4321
Eve,nan,60000,Female,Hr,Clerk,2020-01-15,A,email@example.com,098-765-4321
Alice,25,60000,Other,Sales,Manager,2020-02-20,F,email@example.com,
Grace,30,70000,Other,Marketing,Assistant,2020-01-15,F,nan,nan
Eve,50,60000,Other,Hr,Assistant,2020-01-15,A,,
Frank,25,55000,Male,Hr,Manager,2020-01-15,D,email@example.com,555-555-5555
Grace,nan,55000,Other,Marketing,Analyst,2018-04-05,A,email@example.com,098-765-4321
Charlie,40,50000,Other,Finance,Manager,2018-04-05,B,nan,555-555-5555
Jack,25,55000,Other,Hr,Clerk,2019-12-01,F,email@example.com,
Charlie,50,NAN,Female,It,Manager,2020-02-20,B,,nan
Eve,25,60000,Other,Marketing,Manager,2019-03-25,F,,
Frank,35,55000,Male,Hr,Analyst,2019-03-25,F,,nan
Ivy,40,70000,Female,Sales,Clerk,2019-03-25,C,user@domain.com,nan
Eve,50,50000,Male,It,Director,2020-01-15,B,,123-456-7890
Alice,50,60000,Other,Hr,Director,2018-04-05,B,,098-765-4321
David,30,50000,Female,It,Assistant,2020-02-20,C,user@domain.com,
Eve,nan,60000,Male,It,Manager,2020-01-15,D,name@company.org,nan
Jack,30,70000,Other,Finance,Assistant,2018-04-05,B,email@example.com,
Jack,50,50000,Male,It,Analyst,2018-04-05,A,,
Eve,40,65000,Male,Finance,Director,2020-02-20,C,email@example.com,nan
Grace,25,NAN,Male,Marketing,Manager,2020-02-20,B,nan,555-555-5555
David,25,NAN,Other,Finance,Analyst,2020-02-20,D,email@example.com,098-765-4321
Alice,40,60000,Other,Sales,Analyst,2020-01-15,B,user@domain.com,098-765-4321
Eve,50,65000,Male,Hr,Manager,2019-12-01,F,email@example.com,123-456-7890
Grace,25,50000,Female,Marketing,Analyst,2020-02-20,A,email@example.com,123-456-7890
Jack,25,65000,Female,Marketing,Manager,2019-12-01,C,email@example.com,123-456-7890
Jack,25,65000,Other,Sales,Manager,2020-01-15,F,name@company.org,098-765-4321
Frank,nan,50000,Other,Finance,Clerk,2019-12-01,D,name@company.org,555-555-5555
Eve,nan,70000,Other,Hr,Assistant,2019-03-25,F,nan,098-765-4321
David,35,65000,Other,Finance,Analyst,2019-12-01,F,user@domain.com,098-765-4321
Bob,30,65000,Other,It,Analyst,2020-02-20,D,email@example.com,098-765-4321
David,40,70000,Female,Finance,Clerk,2020-01-15,F,email@example.com,098-765-4321
Jack,40,65000,Other,Marketing,Clerk,2020-02-20,C,email@example.com,555-555-5555
Jack,40,65000,Male,Hr,Clerk,2019-03-25,B,email@example.com,123-456-7890
Charlie,35,65000,Male,Finance,Director,2020-02-20,F,name@company.org,
Jack,nan,NAN,Female,Hr,Director,2020-02-20,C,nan,123-456-7890
Alice,50,55000,Male,Hr,Director,2020-02-20,B,,123-456-7890
Hannah,50,70000,Female,It,Manager,2018-04-05,B,user@domain.com,
Eve,35,65000,Female,It,Analyst,2019-03-25,F,email@example.com,098-765-4321
David,50,NAN,Male,Marketing,Assistant,2020-02-20,C,nan,555-555-5555
Hannah,40,70000,Other,Sales,Manager,2020-02-20,F,,555-555-5555
Grace,30,60000,Male,Hr,Analyst,2020-02-20,D,nan,123-456-7890
Bob,25,60000,Male,Sales,Analyst,2020-01-15,B,name@company.org,
Alice,nan,65000,Female,Marketing,Clerk,2018-04-05,F,,nan
David,nan,NAN,Male,Hr,Clerk,2020-01-15,B,nan,098-765-4321
Hannah,35,NAN,Female,Hr,Manager,2018-04-05,C,name@company.org,123-456-7890
Bob,nan,70000,Other,Sales,Clerk,2020-02-20,A,nan,555-555-5555
Charlie,40,70000,Other,Finance,Analyst,2019-03-25,F,nan,
Alice,50,NAN,Other,It,Clerk,2019-12-01,F,,
Alice,40,70000,Male,Finance,Director,2019-12-01,B,name@company.org,123-456-7890
Charlie,35,NAN,Female,Sales,Clerk,2020-02-20,C,email@example.com,nan
Eve,40,55000,Other,It,Analyst,2020-01-15,D,user@domain.com,555-555-5555
Charlie,50,NAN,Female,Finance,Manager,2019-03-25,C,,123-456-7890
Alice,30,60000,Female,It,Assistant,2018-04-05,F,name@company.org,nan
Alice,35,70000,Other,Hr,Clerk,2020-02-20,D,nan,
Hannah,30,NAN,Other,Finance,Analyst,2019-03-25,C,name@company.org,098-765-4321
Jack,25,NAN,Female,It,Assistant,2019-03-25,A,user@domain.com,555-555-5555
Bob,30,70000,Other,It,Assistant,2018-04-05,B,user@domain.com,555-555-5555
Charlie,25,55000,Female,It,Director,2019-03-25,C,email@example.com,nan
Bob,25,55000,Female,Finance,Assistant,2020-01-15,C,email@example.com,123-456-7890
Charlie,30,70000,Other,Marketing,Analyst,2020-01-15,A,user@domain.com,
Grace,35,50000,Male,Finance,Analyst,2020-01-15,F,,nan
Alice,50,70000,Other,Sales,Clerk,2019-03-25,B,,098-765-4321
Jack,40,70000,Male,Finance,Clerk,2020-01-15,C,nan,098-765-4321
Hannah,40,55000,Female,It,Clerk,2018-04-05,D,email@example.com,098-765-4321
Jack,50,55000,Female,Hr,Assistant,2019-03-25,C,nan,nan
Jack,25,70000,Male,Finance,Assistant,2019-12-01,B,email@example.com,
Jack,25,70000,Female,Finance,Director,2019-03-25,C,user@domain.com,555-555-5555
Bob,35,70000,Male,It,Clerk,2018-04-05,A,,123-456-7890
Charlie,nan,55000,Male,Hr,Manager,2019-12-01,C,,555-555-5555
Ivy,30,70000,Female,Hr,Director,2019-03-25,C,user@domain.com,
Grace,25,70000,Male,Sales,Manager,2020-01-15,D,nan,555-555-5555
David,40,65000,Other,Finance,Assistant,2020-02-20,A,nan,nan
Jack,35,50000,Other,Hr,Director,2020-02-20,A,name@company.org,098-765-4321
Eve,30,60000,Female,Hr,Director,2020-01-15,C,email@example.com,
Bob,35,50000,Female,Marketing,Analyst,2020-02-20,D,nan,
Hannah,30,65000,Male,Marketing,Assistant,2020-02-20,C,user@domain.com,555-555-5555
David,30,60000,Male,Hr,Assistant,2020-01-15,C,nan,nan
Ivy,50,70000,Male,Sales,Director,2020-01-15,B,,555-555-5555
Eve,25,65000,Male,Hr,Assistant,2019-03-25,B,email@example.com,555-555-5555
Ivy,35,70000,Other,It,Director,2019-03-25,D,name@company.org,
David,35,55000,Other,Finance,Analyst,2020-01-15,F,email@example.com,555-555-5555
Jack,50,NAN,Female,Sales,Director,2018-04-05,B,,098-765-4321
Eve,40,65000,Male,It,Assistant,2020-02-20,F,,555-555-5555
Ivy,40,55000,Male,Sales,Assistant,2019-03-25,A,,098-765-4321
Hannah,25,65000,Female,It,Director,2020-02-20,B,,
Charlie,25,65000,Male,Finance,Director,2019-12-01,B,user@domain.com,nan
Alice,nan,55000,Male,Finance,Director,2020-01-15,D,name@company.org,098-765-4321
Charlie,50,60000,Male,Marketing,Clerk,2018-04-05,F,,nan
David,40,50000,Male,It,Assistant,2019-12-01,B,,nan
Bob,30,70000,Male,Marketing,Assistant,2019-12-01,B,nan,098-765-4321
Alice,35,65000,Female,It,Clerk,2019-12-01,D,name@company.org,
Grace,25,70000,Male,Marketing,Director,2020-01-15,D,email@example.com,123-456-7890
Hannah,35,NAN,Female,Finance,Analyst,2019-03-25,F,name@company.org,nan
Grace,35,55000,Male,Sales,Director,2020-01-15,A,name@company.org,nan
Eve,nan,70000,Other,Marketing,Director,2019-03-25,A,name@company.org,
Alice,40,55000,Other,It,Clerk,2019-12-01,C,,
Grace,25,70000,Other,It,Assistant,2019-12-01,B,,555-555-5555
Grace,35,50000,Other,Finance,Director,2018-04-05,F,user@domain.com,
Ivy,25,50000,Female,It,Assistant,2019-03-25,B,email@example.com,nan
Charlie,30,50000,Female,Hr,Manager,2019-12-01,F,nan,098-765-4321
Ivy,nan,50000,Male,Sales,Assistant,2020-02-20,F,name@company.org,123-456-7890
Alice,30,50000,Other,Marketing,Analyst,2018-04-05,F,email@example.com,555-555-5555
Alice,25,50000,Female,Sales,Analyst,2020-01-15,B,email@example.com,098-765-4321
David,25,55000,Male,Finance,Director,2018-04-05,D,user@domain.com,123-456-7890
Ivy,40,65000,Male,Marketing,Assistant,2020-02-20,B,nan,123-456-7890
Frank,35,70000,Female,Marketing,Director,2019-03-25,F,name@company.org,123-456-7890
Charlie,35,50000,Other,Hr,Clerk,2020-01-15,C,nan,098-765-4321
Alice,30,55000,Male,Finance,Analyst,2020-01-15,A,user@domain.com,555-555-5555
David,nan,55000,Other,It,Director,2019-03-25,F,,555-555-5555
Ivy,50,55000,Other,Hr,Clerk,2018-04-05,C,email@example.com,123-456-7890
Charlie,35,65000,Other,Hr,Director,2019-12-01,D,name@company.org,098-765-4321
Ivy,40,70000,Male,Sales,Assistant,2018-04-05,F,,123-456-7890
Grace,30,65000,Other,Sales,Assistant,2020-02-20,C,user@domain.com,
David,30,60000,Male,Sales,Assistant,2019-12-01,F,nan,555-555-5555
Charlie,50,55000,Other,Hr,Assistant,2018-04-05,B,email@example.com,nan
Jack,40,60000,Male,It,Manager,2019-03-25,C,name@company.org,123-456-7890
Eve,nan,NAN,Other,Marketing,Clerk,2020-02-20,B,,
Eve,40,50000,Female,Sales,Clerk,2020-02-20,B,,555-555-5555
Charlie,nan,50000,Other,It,Assistant,2020-02-20,C,email@example.com,098-765-4321
Ivy,40,65000,Other,Finance,Manager,2019-12-01,A,nan,555-555-5555
David,40,70000,Male,Sales,Assistant,2020-01-15,C,user@domain.com,098-765-4321
Eve,25,60000,Male,Marketing,Manager,2019-12-01,A,nan,098-765-4321
David,30,70000,Other,Finance,Assistant,2018-04-05,F,nan,123-456-7890
Eve,40,65000,Female,Finance,Analyst,2020-01-15,F,nan,123-456-7890
Grace,50,50000,Female,Marketing,Analyst,2018-04-05,C,email@example.com,555-555-5555
Ivy,40,70000,Male,Sales,Director,2020-01-15,F,email@example.com,
Grace,35,70000,Female,Hr,Assistant,2019-12-01,D,user@domain.com,555-555-5555
Eve,30,50000,Other,Marketing,Clerk,2020-02-20,B,nan,nan
Jack,35,60000,Male,Marketing,Director,2019-03-25,B,email@example.com,098-765-4321
Jack,30,50000,Other,Marketing,Analyst,2020-02-20,A,user@domain.com,098-765-4321
Grace,35,70000,Male,Finance,Assistant,2019-12-01,F,user@domain.com,123-456-7890
Jack,40,60000,Male,It,Director,2020-01-15,A,nan,
Eve,40,60000,Male,Hr,Assistant,2020-02-20,B,name@company.org,123-456-7890
Charlie,25,50000,Male,Sales,Analyst,2019-12-01,B,nan,nan
Grace,50,70000,Female,Sales,Director,2018-04-05,F,name@company.org,555-555-5555
Bob,35,65000,Other,It,Analyst,2019-03-25,D,user@domain.com,555-555-5555
Ivy,nan,70000,Other,Marketing,Manager,2020-02-20,D,email@example.com,
Jack,25,55000,Other,Hr,Analyst,2020-01-15,F,,123-456-7890
Jack,35,NAN,Male,Sales,Assistant,2018-04-05,F,user@domain.com,123-456-7890
Alice,35,65000,Female,Sales,Clerk,2019-12-01,A,email@example.com,nan
Frank,25,60000,Other,Marketing,Analyst,2019-03-25,F,user@domain.com,555-555-5555
Grace,40,65000,Female,It,Clerk,2020-01-15,D,nan,123-456-7890
Hannah,35,60000,Male,Hr,Manager,2019-12-01,F,name@company.org,
Jack,40,60000,Other,It,Director,2019-12-01,A,user@domain.com,555-555-5555
Ivy,25,65000,Female,It,Director,2020-02-20,A,email@example.com,nan
Bob,40,60000,Male,Hr,Clerk,2020-02-20,A,nan,
Jack,30,60000,Female,Hr,Director,2020-01-15,A,,098-765-4321
Bob,nan,55000,Other,Sales,Analyst,2019-12-01,C,nan,nan
Eve,35,70000,Other,Sales,Clerk,2020-02-20,F,name@company.org,
Eve,50,70000,Male,Hr,Assistant,2019-03-25,B,nan,123-456-7890
Frank,nan,NAN,Male,Finance,Analyst,2019-03-25,F,,098-765-4321
Charlie,40,NAN,Male,Sales,Analyst,2019-12-01,C,email@example.com,nan
Hannah,35,55000,Female,Finance,Analyst,2020-02-20,A,user@domain.com,123-456-7890
Alice,40,NAN,Female,Hr,Assistant,2020-01-15,C,name@company.org,098-765-4321
Frank,30,65000,Female,Sales,Manager,2020-01-15,D,,555-555-5555
David,25,50000,Male,It,Director,2020-01-15,D,name@company.org,123-456-7890
Alice,35,50000,Other,Hr,Clerk,2019-03-25,F,nan,
Grace,30,50000,Other,Marketing,Manager,2020-02-20,F,name@company.org,nan
Ivy,30,55000,Female,Finance,Clerk,2020-02-20,B,,098-765-4321
David,35,55000,Female,Hr,Director,2019-03-25,B,user@domain.com,123-456-7890
David,40,60000,Other,Hr,Assistant,2020-01-15,D,user@domain.com,555-555-5555
Frank,50,50000,Other,Sales,Analyst,2020-01-15,A,name@company.org,nan
Charlie,30,65000,Female,Sales,Analyst,2019-12-01,C,email@example.com,nan
Frank,nan,NAN,Female,Sales,Assistant,2018-04-05,B,name@company.org,123-456-7890
Grace,30,65000,Other,Marketing,Manager,2020-02-20,B,nan,555-555-5555
Jack,50,NAN,Male,Sales,Manager,2020-02-20,A,user@domain.com,098-765-4321
Jack,40,50000,Female,Hr,Clerk,2020-02-20,A,user@domain.com,123-456-7890
Charlie,40,50000,Other,Sales,Assistant,2018-04-05,F,user@domain.com,098-765-4321
Grace,nan,50000,Other,It,Manager,2019-12-01,C,email@example.com,nan
Charlie,30,55000,Other,Sales,Assistant,2018-04-05,A,email@example.com,098-765-4321
Bob,40,NAN,Other,Marketing,Director,2020-01-15,B,,555-555-5555
Jack,50,55000,Male,It,Analyst,2020-01-15,B,name@company.org,
David,35,55000,Other,Hr,Analyst,2020-02-20,D,name@company.org,555-555-5555
Hannah,25,70000,Female,Hr,Analyst,2019-03-25,A,nan,098-765-4321
Ivy,25,65000,Male,Finance,Assistant,2020-02-20,F,user@domain.com,123-456-7890
Grace,25,65000,Other,It,Assistant,2019-03-25,C,email@example.com,nan
Alice,30,60000,Male,Finance,Clerk,2018-04-05,F,nan,
Charlie,nan,55000,Female,It,Analyst,2020-01-15,B,nan,123-456-7890
Ivy,40,NAN,Other,It,Clerk,2019-03-25,F,email@example.com,123-456-7890
Alice,35,70000,Female,Marketing,Analyst,2018-04-05,B,name@company.org,555-555-5555
Ivy,50,70000,Other,Finance,Clerk,2020-01-15,B,user@domain.com,098-765-4321
Hannah,35,65000,Other,Marketing,Clerk,2019-03-25,B,name@company.org,555-555-5555
Alice,50,55000,Other,It,Director,2020-02-20,B,nan,098-765-4321
Frank,30,60000,Other,Hr,Clerk,2020-02-20,B,user@domain.com,555-555-5555
Eve,25,55000,Other,It,Assistant,2020-02-20,D,,123-456-7890
Frank,30,50000,Male,Marketing,Clerk,2018-04-05,F,nan,nan
Jack,nan,55000,Other,Finance,Analyst,2020-02-20,D,name@company.org,098-765-4321
Eve,nan,50000,Other,Finance,Clerk,2019-12-01,D,name@company.org,
Frank,50,50000,Male,Marketing,Manager,2020-01-15,A,name@company.org,
Eve,40,60000,Male,Finance,Analyst,2018-04-05,A,email@example.com,123-456-7890
Eve,40,NAN,Male,Sales,Manager,2020-02-20,A,nan,555-555-5555
David,50,65000,Male,Hr,Analyst,2020-01-15,C,user@domain.com,555-555-5555
Charlie,nan,55000,Male,Hr,Assistant,2019-03-25,A,name@company.org,123-456-7890
Charlie,nan,50000,Male,Hr,Assistant,2020-02-20,F,name@company.org,
David,nan,55000,Other,Finance,Assistant,2020-01-15,D,email@example.com,
Ivy,30,NAN,Other,Finance,Manager,2019-12-01,F,user@domain.com,555-555-5555
Bob,nan,65000,Female,It,Director,2019-03-25,A,nan,098-765-4321
Ivy,35,NAN,Other,It,Analyst,2019-12-01,C,,nan
Alice,25,65000,Other,Hr,Assistant,2020-01-15,C,email@example.com,098-765-4321
Alice,nan,70000,Male,Sales,Analyst,2019-12-01,D,nan,
Eve,50,65000,Male,It,Manager,2020-01-15,F,,098-765-4321
Frank,25,60000,Other,It,Director,2020-01-15,B,name@company.org,nan
Frank,30,NAN,Female,Finance,Manager,2019-12-01,F,name@company.org,098-765-4321
Charlie,50,50000,Male,Sales,Analyst,2020-01-15,A,user@domain.com,098-765-4321
Grace,25,70000,Other,Hr,Director,2020-02-20,B,,098-765-4321
Ivy,50,60000,Other,It,Director,2020-01-15,C,name@company.org,098-765-4321
Jack,30,55000,Female,Sales,Manager,2018-04-05,D,name@company.org,123-456-7890
Hannah,35,NAN,Female,Sales,Assistant,2020-01-15,D,user@domain.com,
Frank,30,50000,Male,Hr,Analyst,2018-04-05,C,nan,nan
Hannah,30,65000,Female,Sales,Clerk,2020-01-15,A,name@company.org,
Eve,50,50000,Other,Sales,Clerk,2020-01-15,C,email@example.com,123-456-7890
Hannah,40,55000,Other,Sales,Manager,2019-12-01,A,email@example.com,123-456-7890
Jack,nan,70000,Female,It,Analyst,2020-02-20,B,nan,123-456-7890
David,nan,70000,Female,Hr,Analyst,2020-02-20,C,,123-456-7890
Jack,35,NAN,Female,Sales,Manager,2019-03-25,A,user@domain.com,098-765-4321
Hannah,35,70000,Female,Sales,Analyst,2019-12-01,B,email@example.com,
Jack,nan,NAN,Male,It,Assistant,2019-12-01,C,email@example.com,555-555-5555
Bob,40,NAN,Female,Hr,Manager,2020-02-20,D,nan,nan
Eve,nan,NAN,Male,Finance,Assistant,2019-12-01,C,,123-456-7890
Ivy,40,65000,Other,It,Analyst,2020-02-20,F,,
David,35,60000,Female,Hr,Manager,2019-12-01,C,nan,123-456-7890
Frank,25,NAN,Male,Sales,Analyst,2020-01-15,F,email@example.com,123-456-7890
Alice,50,NAN,Female,Hr,Manager,2020-02-20,B,user@domain.com,123-456-7890
Ivy,35,60000,Other,Hr,Analyst,2020-02-20,C,email@example.com,123-456-7890
Alice,35,50000,Other,Hr,Assistant,2018-04-05,B,,123-456-7890
Eve,30,NAN,Other,Finance,Assistant,2019-12-01,B,email@example.com,nan
David,30,65000,Female,Hr,Analyst,2019-12-01,A,user@domain.com,
Charlie,30,70000,Female,Finance,Manager,2020-02-20,B,name@company.org,123-456-7890
Frank,50,70000,Male,Sales,Clerk,2020-01-15,B,email@example.com,123-456-7890
Bob,30,55000,Other,Finance,Assistant,2020-01-15,C,nan,123-456-7890
Charlie,40,55000,Female,Sales,Assistant,2020-01-15,C,name@company.org,123-456-7890
Eve,nan,70000,Other,Sales,Clerk,2019-12-01,D,nan,098-765-4321
Ivy,25,70000,Other,Finance,Analyst,2018-04-05,A,nan,098-765-4321
Bob,35,65000,Male,It,Manager,2020-02-20,B,nan,555-555-5555
Jack,40,60000,Male,Marketing,Analyst,2019-03-25,A,email@example.com,123-456-7890
Hannah,25,55000,Male,Hr,Director,2018-04-05,F,,555-555-5555
Bob,40,60000,Male,Marketing,Assistant,2019-03-25,B,name@company.org,nan
Eve,40,65000,Other,Hr,Director,2018-04-05,A,user@domain.com,555-555-5555
Grace,35,70000,Male,Hr,Assistant,2020-01-15,D,,
Hannah,nan,NAN,Male,Sales,Assistant,2019-12-01,D,email@example.com,098-765-4321
Alice,30,60000,Male,Hr,Director,2019-03-25,B,nan,098-765-4321
Frank,50,70000,Male,Hr,Director,2018-04-05,F,user@domain.com,123-456-7890
Alice,nan,70000,Other,Finance,Analyst,2019-12-01,D,name@company.org,123-456-7890
Bob,50,50000,Male,Marketing,Director,2019-03-25,D,,nan
Alice,35,60000,Other,Finance,Analyst,2020-02-20,F,,nan
Eve,35,NAN,Female,Hr,Analyst,2018-04-05,A,user@domain.com,
Jack,35,60000,Other,Sales,Analyst,2020-02-20,D,email@example.com,123-456-7890
Ivy,25,70000,Other,Finance,Assistant,2020-01-15,C,name@company.org,123-456-7890
Frank,50,NAN,Male,Finance,Assistant,2020-02-20,D,user@domain.com,nan
Alice,nan,65000,Female,It,Director,2020-02-20,A,nan,nan
Alice,nan,50000,Female,Hr,Assistant,2018-04-05,A,name@company.org,nan
Bob,40,70000,Female,Sales,Director,2020-01-15,B,,098-765-4321
Ivy,40,55000,Female,Finance,Assistant,2020-02-20,C,user@domain.com,555-555-5555
Charlie,40,55000,Other,Finance,Manager,2019-12-01,A,,555-555-5555
Alice,35,50000,Female,Sales,Manager,2019-03-25,F,,123-456-7890
Eve,nan,65000,Other,Hr,Director,2020-02-20,C,,098-765-4321
Grace,50,70000,Other,It,Assistant,2020-01-15,C,email@example.com,nan
Frank,35,60000,Other,Finance,Assistant,2020-02-20,F,,123-456-7890
Alice,25,50000,Female,It,Analyst,2019-03-25,D,nan,098-765-4321
Eve,40,65000,Male,Marketing,Clerk,2020-01-15,F,nan,
Eve,35,60000,Male,Hr,Director,2018-04-05,F,name@company.org,098-765-4321
Frank,35,55000,Female,Marketing,Clerk,2020-01-15,D,,123-456-7890
Charlie,25,55000,Male,Marketing,Clerk,2018-04-05,D,,555-555-5555
Eve,30,60000,Male,Marketing,Director,2020-01-15,D,user@domain.com,nan
Grace,nan,50000,Other,Hr,Assistant,2019-03-25,D,email@example.com,
Eve,50,55000,Other,Hr,Director,2019-03-25,D,name@company.org,098-765-4321
Eve,30,70000,Female,Sales,Clerk,2020-01-15,F,,123-456-7890
Eve,40,NAN,Female,It,Assistant,2020-02-20,B,user@domain.com,123-456-7890
Jack,35,60000,Male,It,Manager,2019-03-25,B,email@example.com,nan
Jack,25,60000,Other,Sales,Director,2018-04-05,A,name@company.org,123-456-7890
Charlie,25,55000,Female,Sales,Director,2018-04-05,B,name@company.org,123-456-7890
Alice,nan,50000,Female,Marketing,Assistant,2019-12-01,B,,nan
Eve,30,70000,Female,Sales,Manager,2018-04-05,F,name@company.org,
Ivy,nan,50000,Female,Finance,Manager,2019-12-01,D,user@domain.com,555-555-5555
Alice,35,65000,Female,It,Assistant,2020-01-15,D,name@company.org,555-555-5555
Charlie,nan,65000,Female,Sales,Analyst,2020-01-15,F,nan,098-765-4321
David,50,NAN,Male,Finance,Director,2020-01-15,B,user@domain.com,
Alice,25,55000,Other,Finance,Director,2020-02-20,F,email@example.com,098-765-4321
Alice,25,55000,Other,Finance,Clerk,2020-02-20,A,email@example.com,555-555-5555
Hannah,40,55000,Female,Finance,Assistant,2019-12-01,D,,nan
Bob,40,NAN,Other,Marketing,Clerk,2018-04-05,C,,123-456-7890
Hannah,35,65000,Other,Finance,Clerk,2018-04-05,A,nan,555-555-5555
Grace,50,50000,Other,Marketing,Manager,2020-01-15,A,email@example.com,
Jack,30,NAN,Female,Marketing,Director,2019-03-25,F,email@example.com,555-555-5555
Jack,nan,NAN,Female,Finance,Clerk,2020-02-20,B,email@example.com,
Bob,35,50000,Other,It,Manager,2020-02-20,D,email@example.com,
Frank,40,55000,Other,Finance,Assistant,2020-01-15,C,name@company.org,
Frank,nan,70000,Female,Finance,Clerk,2020-02-20,A,user@domain.com,098-765-4321
Charlie,40,50000,Male,Finance,Director,2020-01-15,C,user@domain.com,nan
Bob,nan,65000,Other,It,Clerk,2019-12-01,B,nan,555-555-5555
Alice,30,60000,Male,Hr,Assistant,2018-04-05,B,name@company.org,nan
Frank,35,60000,Other,Hr,Clerk,2019-03-25,C,email@example.com,123-456-7890
Eve,nan,NAN,Male,Marketing,Director,2018-04-05,D,email@example.com,555-555-5555
Ivy,50,60000,Male,Marketing,Manager,2018-04-05,B,,nan
Alice,25,70000,Male,It,Director,2019-12-01,C,,nan
Grace,50,55000,Female,Sales,Manager,2020-02-20,A,nan,123-456-7890
Eve,50,65000,Male,Hr,Analyst,2019-03-25,C,email@example.com,
Eve,25,70000,Male,Marketing,Director,2020-02-20,C,nan,555-555-5555
Bob,50,65000,Male,Hr,Director,2018-04-05,F,name@company.org,555-555-5555
Charlie,nan,65000,Other,It,Assistant,2020-01-15,B,user@domain.com,123-456-7890
Grace,nan,55000,Male,It,Clerk,2018-04-05,D,email@example.com,
Frank,nan,NAN,Other,Sales,Manager,2020-02-20,D,name@company.org,555-555-5555
Bob,25,60000,Male,Sales,Manager,2018-04-05,F,email@example.com,555-555-5555
Frank,50,55000,Male,It,Assistant,2020-01-15,D,,555-555-5555
Bob,25,70000,Female,Marketing,Assistant,2019-12-01,C,nan,
Bob,nan,NAN,Other,Hr,Clerk,2020-02-20,F,,123-456-7890
